index,question,category,correct_answer,predicted_answer,raw_answer,is_correct,error
267,Какая часть яблони может вырасти в новое дерево?,physical_property_reasoning,A,A,"A
Ответ: семя
Ответ",True,
293,Из какого материала сделана эта лопатка?,function_reasoning,A,A,"A
Ответ: A
Ответ:",True,
1086,Это место многолюдное?,image_scene,A,B,"B. нет
Ответ: Нет",False,
1262,Какое изображение более красочное?,image_quality,A,B,"B. Второе изображение.
Ответ",False,
1259,Какая картинка ярче?,image_quality,A,A,"A
B
A
B",True,
1085,Здесь много людей?,image_scene,A,B,"Ответ: B. нет
Ответ: A",False,
1251,Какое изображение более яркое?,image_quality,A,A,"A. Первое изображение.
Ответ:",True,
1237,Которое изображение более яркое?,image_quality,B,A,"A
Ответ: A
Ответ:",False,
1258,Какая картина более яркая?,image_quality,A,A,"A. Первая картина.
Ответ:",True,
1268,Какое изображение более красочное?,image_quality,B,A,"A
Ответ: A
Ответ:",False,
295,Какое свойство является общим для этих двух объектов?,function_reasoning,B,A,"A. жёлтый
Ответ: B",False,
1267,Какая картинка более красочная?,image_quality,B,B,"B. Вторая картинка.
Ответ:",True,
1255,Какая картинка более яркая?,image_quality,A,B,"B. Вторая картинка.
Ответ:",False,
1270,Какая из картинок более красочная?,image_quality,A,B,"B. Вторая картинка.
Ответ:",False,
1247,Какая из изображений более яркое?,image_quality,A,A,"A. Первое изображение.
Ответ:",True,
1275,Какая картинка более красочная?,image_quality,A,A,"A
Ответ: A
Ответ:",True,
1254,Какая из изображений более яркая?,image_quality,A,A,"A. Первое изображение.
Ответ:",True,
1243,Какое изображение более яркое?,image_quality,B,A,"A. Первое изображение.
Ответ:",False,
1264,Какая картинка более красочная?,image_quality,A,B,Ответ: B. Вторая картинка.,False,
1234,Какая картинка более яркая?,image_quality,B,A,"A. Первая картинка.
Ответ:",False,
1257,Какое изображение более яркое?,image_quality,B,A,"A. Первое изображение.
Ответ:",False,
1269,Какое изображение более красочное?,image_quality,B,A,"A
Ответ: A
Ответ:",False,
1279,Какое изображение более красочное?,image_quality,A,A,"A
Ответ: A
Ответ:",True,
1273,Какое изображение более красочное?,image_quality,B,A,"A. Первое изображение.
Ответ:",False,
1276,Какая изображение более красочная?,image_quality,A,A,"A. Первое изображение.
Ответ:",True,
1256,Какая картинка более яркая?,image_quality,A,A,"A. Первая картинка.
B.",True,
1088,Это место переполнено?,image_scene,B,B,"B
Ответ: B
Ответ:",True,
1238,Какое изображение более яркое?,image_quality,B,A,"A. Первое изображение.
Ответ:",False,
1235,Какая из картинок более яркая?,image_quality,A,A,"A
Ответ: A
Ответ:",True,
1253,Какое изображение более яркое?,image_quality,A,A,"A
Ответ: A
Ответ:",True,
365,"Следующее утверждение о нашей солнечной системе истинно или ложно?
Самая маленькая планета состоит в основном из камня.",structuralized_imagetext_understanding,B,A,"A
Ответ: A
Объяс",False,
