index,correct_answer,predicted_answer_before,is_correct_before,predicted_answer_after,is_correct_after
267,A,A,True,A,True
293,A,A,True,A,True
1086,A,B,False,B,False
1262,A,B,False,A,True
1259,A,A,True,A,True
1085,A,B,False,B,False
1251,A,A,True,A,True
1237,B,A,False,A,False
1258,A,A,True,A,True
1268,B,A,False,A,False
295,B,A,False,B,True
1267,B,B,True,A,False
1255,A,B,False,A,True
1270,A,B,False,A,True
1247,A,A,True,A,True
1275,A,A,True,A,True
1254,A,A,True,A,True
1243,B,A,False,A,False
1264,A,B,False,A,True
1234,B,A,False,A,False
1257,B,A,False,A,False
1269,B,A,False,A,False
1279,A,A,True,A,True
1273,B,A,False,A,False
1276,A,A,True,A,True
1256,A,A,True,A,True
1088,B,B,True,A,False
1238,B,A,False,A,False
1235,A,A,True,A,True
1253,A,A,True,A,True
365,B,A,False,A,False
407,B,B,True,B,True
1244,B,A,False,A,False
1248,A,A,True,A,True
289,B,C,False,C,False
410,B,A,False,A,False
403,B,A,False,A,False
1242,B,B,True,A,False
377,B,A,False,A,False
428,A,A,True,A,True
274,B,A,False,A,False
364,B,B,True,B,True
858,B,B,True,B,True
1232,A,B,False,A,True
362,B,A,False,B,True
370,B,B,True,A,False
401,A,B,False,B,False
1278,B,A,False,A,False
863,A,B,False,B,False
300,A,B,False,B,False
312,C,B,False,B,False
371,A,B,False,A,True
1277,B,A,False,A,False
290,C,A,False,A,False
304,A,C,False,C,False
1087,B,B,True,B,True
306,C,B,False,B,False
355,A,A,True,A,True
486,B,B,True,B,True
308,A,B,False,B,False
264,B,B,True,B,True
294,A,B,False,B,False
416,A,A,True,A,True
292,B,B,True,B,True
311,C,B,False,B,False
344,B,A,False,B,True
431,B,C,False,C,False
284,C,C,True,C,True
828,A,B,False,A,True
452,A,A,True,B,False
477,B,A,False,B,True
609,B,C,False,C,False
835,B,C,False,B,True
832,A,B,False,B,False
318,B,C,False,C,False
453,B,B,True,B,True
1096,B,B,True,B,True
399,A,B,False,B,False
305,A,C,False,A,True
608,A,C,False,B,False
419,B,B,True,B,True
288,C,C,True,C,True
833,A,A,True,A,True
840,B,C,False,A,False
484,A,B,False,A,True
837,B,B,True,A,False
485,B,A,False,A,False
1099,B,B,True,B,True
1097,B,B,True,B,True
388,B,B,True,B,True
488,B,B,True,B,True
1102,A,B,False,B,False
841,B,C,False,A,False
426,B,B,True,B,True
309,A,C,False,A,True
838,B,C,False,B,True
471,A,C,False,C,False
1093,B,B,True,A,False
845,C,A,False,A,False
1108,B,A,False,B,True
